Month,Avg_TAVG_C,Avg_TMAX_C,Avg_TMIN_C
1999年1月,23.81481481,27.49103943,20.66308244
1999年2月,22.6984127,26.28968254,19.8015873
1999年3月,22.31182796,25.98566308,18.94265233
1999年4月,17.42592593,20.96296296,14
1999年5月,16.30824373,20.86021505,12.11469534
1999年6月,13.66666667,17.62962963,10.14814815
1999年7月,13.31541219,17.38351254,9.534050179
1999年8月,14.17562724,18.60215054,9.76702509
1999年9月,16.44444444,20.66666667,12.38888889
1999年10月,18.78136201,23.2437276,15.07168459
1999年11月,18.48148148,22.38888889,14.62962963
1999年12月,20.71684588,24.21146953,17.77777778
2000年1月,21.07526882,24.82078853,17.88530466
2000年2月,23.46743295,28.18007663,19.82142857
2000年3月,21.68458781,25.16129032,19.15770609
2000年4月,19.01851852,22.75925926,15.12962963
2000年5月,15.46594982,19.87455197,11.63082437
2000年6月,12.51851852,17.05555556,8.111111111
2000年7月,12.74193548,17.56272401,8.422939068
2000年8月,13.45878136,18.38709677,8.853046595
2000年9月,17.40740741,22.83333333,12.37037037
2000年10月,18.26164875,22.84946237,14.51612903
2000年11月,19.96296296,23.31481481,17.38888889
2000年12月,23.27956989,28.02867384,19.58781362
2001年1月,23.8172043,27.88530466,20.71684588
2001年2月,23.47222222,27.02380952,20.75396825
2001年3月,21.66666667,25.39426523,18.65591398
2001年4月,19.2962963,23.64814815,15.38888889
2001年5月,14.94623656,18.94265233,11.12903226
2001年6月,13.98148148,19.33333333,9.148148148
2001年7月,12.97491039,16.82795699,9.462365591
2001年8月,13.69175627,18.96057348,8.817204301
2001年9月,17.40740741,21.88888889,12.83333333
2001年10月,18.45878136,23.83512545,13.76344086
2001年11月,19.2037037,23.33333333,15.57407407
2001年12月,22.09677419,26.61290323,18.60215054
2002年1月,22.90322581,26.84587814,19.7311828
2002年2月,21.76587302,25.07936508,19.12698413
2002年3月,21.32616487,25.23297491,18.29749104
2002年4月,19.7037037,23.66666667,16.31481481
2002年5月,15.51971326,19.55197133,11.95340502
2002年6月,13.48148148,18.37037037,9.351851852
2002年7月,12.43727599,17.92114695,7.222222222
2002年8月,14.28315412,19.05017921,9.569892473
2002年9月,17.03703704,22.85185185,11.74074074
2002年10月,18.97849462,24.62365591,14.26523297
2002年11月,20.7962963,25.88888889,17.09259259
2002年12月,21.73835125,25.91397849,17.99283154
2003年1月,23.11827957,27.61648746,20
2003年2月,23.45238095,27.24206349,20.25793651
2003年3月,20.86021505,24.58781362,17.86738351
2003年4月,18.40740741,21.88888889,14.92592593
2003年5月,16.41577061,20.2688172,13.15412186
2003年6月,14.7037037,19.51851852,10.33333333
2003年7月,12.70609319,17.40143369,8.207885305
2003年8月,13.83512545,18.98467433,8.853046595
2003年9月,16.66666667,22.38888889,11.87037037
2003年10月,16.63082437,21.21863799,12.75985663
